ID,brand,model,rate,price,wattage,status
89,Thermaltake,Toughpower GF2 ARGB 80PLUS Gold Fully Modular,7450,gold,650,TRUE
90,Cooler Master,G500/ G600/ G700/ G800 80 Plus Gold Non-Modular,4199,gold,500,TRUE
91,Montech,Century 850watts 80+ Gold Fully Modular,6450,gold,850,TRUE
92,Montech,Gamma II 750watts 80+ Gold Fully Modular,5000,gold,750,TRUE
93,Antec,Cuprum Strike CSK750H 750w Bronze Semi-Modular,3550,none,750,TRUE
94,Antec,NeoEco 850w Gold Fully Modular,5595,gold,850,TRUE
95,Antec,Signature Platinum SP1000 1000w Fully Modular,11322,platinum,1000,TRUE
96,ATOM,G650 650 watts Fully Modular 80 Plus Gold,2995,gold,650,TRUE
97,SuperFlower,Leadex III Pro 650W/850W 80 PLUS Bronze Fully Modular,4303,bronze,650,TRUE
98,SuperFlower,Legion HX 750W Non-Modular 80 PLUS Gold,4155,gold,750,TRUE
99,SuperFlower,Legion GX Pro 650W Semi-Modular 80 PLUS Gold,3790,gold,650,TRUE
100,Deepcool,PQ750M 80 Plus Fully Modular Gold,5710,gold,750,TRUE
101,Coolermaster,MWE Bronze Series 500W V2 80+ Bronze,2620,bronze,500,TRUE
102,Antec,CSK750H 750 watts 80+ Semi Modular Bronze,3545,bronze,750,TRUE
103,NZXT,C750 550Watts and 750 Watts 80+ Bronze Semi Modular,4015,bronze,550,TRUE
